Year,country_iso3,burnt_area_ha,number_of_fires,country_name
1980,PRT,44251.0,2349.0,Portugal
1981,PRT,89798.0,6730.0,Portugal
1982,PRT,39556.0,3626.0,Portugal
1983,PRT,47811.0,4539.0,Portugal
1984,PRT,52710.0,7356.0,Portugal
1985,PRT,146254.0,8441.0,Portugal
1986,PRT,89522.0,5036.0,Portugal
1987,PRT,76269.0,7705.0,Portugal
1988,PRT,22434.0,6131.0,Portugal
1989,PRT,126237.0,21896.0,Portugal
1990,PRT,137252.0,10745.0,Portugal
1991,PRT,182486.0,14327.0,Portugal
1992,PRT,57011.0,14954.0,Portugal
1993,PRT,49963.0,16101.0,Portugal
1994,PRT,77323.0,19983.0,Portugal
1995,PRT,169612.0,34116.0,Portugal
1996,PRT,88867.0,28626.0,Portugal
1997,PRT,30535.0,23497.0,Portugal
1998,PRT,158369.0,34676.0,Portugal
1999,PRT,70613.0,25477.0,Portugal
2000,PRT,159605.0,34109.0,Portugal
2001,PRT,117420.0,28915.0,Portugal
2002,PRT,130849.0,28993.0,Portugal
2003,PRT,471750.0,28087.0,Portugal
2004,PRT,151370.0,27829.0,Portugal
2005,PRT,346718.0,41689.0,Portugal
2006,PRT,83706.0,24243.0,Portugal
2007,PRT,36413.0,25133.0,Portugal
2008,PRT,19897.0,18958.0,Portugal
2009,PRT,92126.0,29783.0,Portugal
2010,PRT,140953.0,26113.0,Portugal
2011,PRT,77104.0,29782.0,Portugal
2012,PRT,117985.0,25352.0,Portugal
2013,PRT,160388.0,23129.0,Portugal
2014,PRT,22820.0,9388.0,Portugal
2015,PRT,67200.0,19643.0,Portugal
2016,PRT,167808.0,16104.0,Portugal
2017,PRT,539921.0,21006.0,Portugal
2018,PRT,44578.0,12274.0,Portugal
2019,PRT,42085.0,10832.0,Portugal
2020,PRT,67170.0,9619.0,Portugal
2021,PRT,28360.0,8186.0,Portugal
2022,PRT,110097.0,10390.0,Portugal
2023,PRT,34510.0,7523.0,Portugal
2024,PRT,137651.0,6255.0,Portugal
1980,ESP,263017.0,7190.0,Spain
1981,ESP,298288.0,10878.0,Spain
1982,ESP,152903.0,6545.0,Spain
1983,ESP,108100.0,4791.0,Spain
1984,ESP,165119.0,7203.0,Spain
1985,ESP,484476.0,12238.0,Spain
1986,ESP,264887.0,7570.0,Spain
1987,ESP,146662.0,8679.0,Spain
1988,ESP,137734.0,9247.0,Spain
1989,ESP,426693.0,20811.0,Spain
1990,ESP,203032.0,12913.0,Spain
1991,ESP,260318.0,13531.0,Spain
1992,ESP,105277.0,15955.0,Spain
1993,ESP,89267.0,14254.0,Spain
1994,ESP,437635.0,19263.0,Spain
1995,ESP,143484.0,25827.0,Spain
1996,ESP,59814.0,16771.0,Spain
1997,ESP,98503.0,22320.0,Spain
1998,ESP,133643.0,22446.0,Spain
1999,ESP,82217.0,18237.0,Spain
2000,ESP,188586.0,24118.0,Spain
2001,ESP,93297.0,19547.0,Spain
2002,ESP,107464.0,19929.0,Spain
2003,ESP,148172.0,18616.0,Spain
2004,ESP,134193.0,21396.0,Spain
2005,ESP,188697.0,25492.0,Spain
2006,ESP,155345.0,16354.0,Spain
2007,ESP,86122.0,10936.0,Spain
2008,ESP,50322.0,11655.0,Spain
2009,ESP,120094.0,15643.0,Spain
2010,ESP,54770.0,11721.0,Spain
2011,ESP,102161.0,16414.0,Spain
2012,ESP,226125.0,17503.0,Spain
2013,ESP,58985.0,10626.0,Spain
2014,ESP,46721.0,9771.0,Spain
2015,ESP,103200.0,11928.0,Spain
2016,ESP,65817.0,8817.0,Spain
2017,ESP,178234.0,13793.0,Spain
2018,ESP,25162.0,7143.0,Spain
2019,ESP,83963.0,10883.0,Spain
2020,ESP,65923.0,7745.0,Spain
2021,ESP,87880.0,8780.0,Spain
2022,ESP,267947.0,10507.0,Spain
2023,ESP,89068.0,7748.0,Spain
2024,ESP,47711.13,6134.0,Spain
1980,FRA,22176.0,5040.0,France
1981,FRA,27711.0,5173.0,France
1982,FRA,55145.0,5308.0,France
1983,FRA,53729.0,4659.0,France
1984,FRA,27202.0,5672.0,France
1985,FRA,57368.0,6249.0,France
1986,FRA,51860.0,4353.0,France
1987,FRA,14108.0,3043.0,France
1988,FRA,6701.0,2837.0,France
1989,FRA,75566.0,6763.0,France
1990,FRA,72625.0,5881.0,France
1991,FRA,10130.0,3888.0,France
1992,FRA,16593.0,4002.0,France
1993,FRA,16698.0,4769.0,France
1994,FRA,24995.0,4618.0,France
1995,FRA,18137.0,6563.0,France
1996,FRA,11400.0,6401.0,France
1997,FRA,21581.0,8005.0,France
1998,FRA,19282.0,6289.0,France
1999,FRA,15906.0,4960.0,France
2000,FRA,24078.0,4603.0,France
2001,FRA,20642.0,4309.0,France
2002,FRA,30160.0,4097.0,France
2003,FRA,73278.0,7023.0,France
2004,FRA,13711.0,3775.0,France
2005,FRA,22135.0,4698.0,France
2006,FRA,7026.0,3231.0,France
2007,FRA,7057.0,2690.0,France
2008,FRA,4710.0,1801.0,France
2009,FRA,14612.0,3012.0,France
2010,FRA,8524.0,2443.0,France
2011,FRA,6800.0,2774.0,France
2012,FRA,7584.0,2763.0,France
2013,FRA,2735.0,1510.0,France
2014,FRA,4735.0,1730.0,France
2015,FRA,8169.0,2898.0,France
2016,FRA,14101.0,2775.0,France
2017,FRA,23093.0,3220.0,France
2018,FRA,3940.0,1634.0,France
2019,FRA,13394.0,2949.0,France
2020,FRA,10722.0,2760.0,France
2021,FRA,12779.0,2332.0,France
2022,FRA,58123.0,4215.0,France
2023,FRA,5361.0,2666.0,France
2024,FRA,2949.0,1452.0,France
1980,ITA,143919.0,11963.0,Italy
1981,ITA,229850.0,14503.0,Italy
1982,ITA,130456.0,9557.0,Italy
1983,ITA,212678.0,7956.0,Italy
1984,ITA,75272.0,8482.0,Italy
1985,ITA,190640.0,18664.0,Italy
1986,ITA,86420.0,9398.0,Italy
1987,ITA,120697.0,11972.0,Italy
1988,ITA,186405.0,13588.0,Italy
1989,ITA,95161.0,9669.0,Italy
1990,ITA,195319.0,14477.0,Italy
1991,ITA,99860.0,11965.0,Italy
1992,ITA,105692.0,14641.0,Italy
1993,ITA,203749.0,14412.0,Italy
1994,ITA,136334.0,11588.0,Italy
1995,ITA,48884.0,7378.0,Italy
1996,ITA,57988.0,9093.0,Italy
1997,ITA,111230.0,11612.0,Italy
1998,ITA,155553.0,9540.0,Italy
1999,ITA,71117.0,6932.0,Italy
2000,ITA,114648.0,8595.0,Italy
2001,ITA,76427.0,7134.0,Italy
2002,ITA,40791.0,4601.0,Italy
2003,ITA,91805.0,9697.0,Italy
2004,ITA,60176.0,6428.0,Italy
2005,ITA,47575.0,7951.0,Italy
2006,ITA,39946.0,5634.0,Italy
2007,ITA,227729.0,10639.0,Italy
2008,ITA,66329.0,6486.0,Italy
2009,ITA,73355.0,5422.0,Italy
2010,ITA,46537.0,4884.0,Italy
2011,ITA,72004.0,8181.0,Italy
2012,ITA,130814.0,8252.0,Italy
2013,ITA,29076.0,2936.0,Italy
2014,ITA,36125.0,3257.0,Italy
2015,ITA,41511.0,5442.0,Italy
2016,ITA,65503.0,5818.0,Italy
2017,ITA,161987.0,7855.0,Italy
2018,ITA,19481.0,3220.0,Italy
2019,ITA,36034.0,4351.0,Italy
2020,ITA,55656.0,4865.0,Italy
2021,ITA,151964.0,5989.0,Italy
2022,ITA,71694.0,6529.0,Italy
2023,ITA,88806.0,4265.0,Italy
