Year,PRT,ESP,FRA,ITA,GRC,DZA,AUT,BGR,HRV,CYP,CZE,EST,FIN,DEU,HUN,LVA,LBN,LTU,MAR,NLD,MKD,NOR,POL,ROU,SRB,SVK,SVN,SWE,CHE,TUR,UKR
1980,44251,263017,22176,143919,32965,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,89798,298288,27711,229850,81417,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,39556,152903,55145,130456,27372,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,47811,108100,53729,212678,19613,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,52710,165119,27202,75272,33655,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,146254,484476,57368,190640,105450,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,89522,264887,51860,86420,24514,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,76269,146662,14108,120697,46315,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,22434,137734,6701,186405,110501,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,126237,426693,75566,95161,42363,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,137252,203032,72625,195319,38594,,,,,,,,,,,258,,,2118,,,,7341,444,,,,,1723,13742,
1991,182486,260318,10130,99860,13046,,,511,,,,,,920,,69,,,3965,,,,2567,277,,,,,96,8081,
1992,57011,105277,16593,105692,71410,,,5243,11131,,,,,4908,,8412,,769,2579,,,,43755,729,,,,,65,12232,
1993,49963,89267,16698,203749,54049,,85,18164,20157,,,,,1493,,570,,274,3078,,,,8290,518,,,,,37,15393,
1994,77323,437635,24995,136334,57908,,80,18100,7936,,,,,1114,,326,,279,6072,,,,9325,312,,,,,408,30828,
1995,169612,143484,18137,48884,27202,,43,550,4651,,403,,,592,,535,,321,7018,,,,5403,208,,,,,446,7676,
1996,88867,59814,11400,57988,25310,,8,906,11214,,2043,,433,1381,,927,,478,1185,,,,14537,227,,,,,293,14922,
1997,30535,98503,21581,111230,52373,,28,595,11122,,359,,1146,599,,448,,226,3845,,,,6766,68,,,,,1785,6517,
1998,158369,133643,19282,155553,92901,,101,6967,32056,,1132,,131,397,,211,,93,1855,,,,4222,137,,,,422,274,6764,
1999,70613,82217,15906,71117,8289,,6,8291,6053,,336,,609,415,756,1544,,494,1688,,,,8629,379,,557,,1771,30,5804,
2000,159605,188586,24078,114648,145033,,32,57406,68171,8034,375,684,266,581,1595,1341,,352,4064,,,,7089,3607,,904,,1552,70,26653,
