Year,PRT,ESP,FRA,ITA,GRC,DZA,AUT,BGR,HRV,CYP,CZE,EST,FIN,DEU,HUN,LVA,LBN,LTU,MAR,NLD,MKD,NOR,POL,ROU,SRB,SVK,SVN,SWE,CHE,TUR,UKR
1980,2349,7190,5040,11963,1207,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,6730,10878,5173,14503,1159,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,3626,6545,5308,9557,1045,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,4539,4791,4659,7956,968,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,7356,7203,5672,8482,1284,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,8441,12238,6249,18664,1442,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,5036,7570,4353,9398,1082,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,7705,8679,3043,11972,1266,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,6131,9247,2837,13588,1898,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,21896,20811,6763,9669,1284,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,10745,12913,5881,14477,1322,,,,,,,,,,,604,,,179,,,,5756,131,,,,,257,1750,
1991,14327,13531,3888,11965,858,,,73,,,,,,1846,,225,,,247,,,,3528,42,,,,,152,1481,
1992,14954,15955,4002,14641,2582,,,602,325,,,,,3012,,1510,,1180,182,,,,11858,187,,,,,86,2117,
1993,16101,14254,4769,14412,2406,,112,1196,372,,,,,1694,,965,,634,187,,,,8821,159,,,,,83,2545,
1994,19983,19263,4618,11588,1763,,105,667,181,,,,,1696,,763,,715,417,,,,10705,121,,366,,,86,3239,
1995,34116,25827,6563,7378,1438,,54,114,109,,1331,,,1237,,582,,472,528,,,,7678,62,,254,,,96,1770,
1996,28626,16771,6401,9093,1508,,26,246,305,,1421,,1475,1748,,1095,,894,220,,,,7923,72,,662,,,130,1645,
1997,23497,22320,8005,11612,2273,,42,200,305,,1398,,1585,1467,,768,,565,391,,,,6817,37,,535,,,179,1569,
1998,34676,22446,6289,9540,1842,,71,578,441,,2563,,370,1032,,357,,258,416,,,,6165,59,,1056,,2503,121,1932,
1999,25477,18237,4960,6932,1486,,16,320,223,,1402,,1528,1178,229,1196,,1022,385,,,,9820,138,,426,,4707,50,2075,
2000,34109,24118,4603,8595,2581,,42,1710,706,285,1499,158,826,1210,811,915,,654,321,,,,12426,688,,824,,4708,70,2555,
2001,28915,19547,4309,7134,2535,,54,825,299,299,483,91,822,587,419,272,,287,327,,,117,4480,268,,311,,4831,67,2631,
2002,28993,19929,4097,4601,1141,,108,402,176,243,604,356,2546,513,382,1720,,1596,202,,,213,10101,516,,570,60,6490,117,1471,
2003,28087,18616,7023,9697,1452,,238,452,532,427,1754,111,1734,2524,375,900,,885,392,,,198,17087,203,,872,224,8282,304,2177,
2004,27829,21396,3775,6428,1748,,72,294,204,221,873,89,816,626,104,647,,468,714,,,119,7006,34,,153,51,4955,94,1762,
2005,41689,25492,4698,7951,1544,,85,241,147,185,619,65,1069,496,150,365,,301,662,,,122,12049,64,,287,73,4573,110,1530,
2006,24243,16354,3231,5634,1417,,133,393,181,172,697,248,3046,930,97,1929,,1545,381,,,205,11541,105,,237,112,4618,110,2227,
2007,25133,10936,2690,10639,1983,,256,1479,345,111,805,64,1204,779,603,425,,251,340,,652,65,8302,478,,463,140,3737,120,2829,5024
2008,18958,11655,1801,6486,1481,,185,582,275,114,470,71,1456,818,502,700,,301,273,,573,171,9090,91,,182,74,5420,63,2135,3231
2009,29783,15643,3012,5422,1063,,138,314,181,91,514,47,1242,763,608,823,,471,501,,80,109,9162,190,67,347,120,4180,103,1793,4922
2010,26113,11721,2443,4884,1052,,144,222,131,133,732,30,1412,780,109,316,,104,629,,99,62,4680,70,3,127,32,3120,88,1861,2368
2011,29782,16414,2774,8181,1613,2487,267,635,280,85,1337,24,1215,888,2021,360,,142,606,,523,49,8172,340,211,303,114,3534,114,1954,1761
2012,25352,17503,2763,8252,1559,5110,259,876,569,78,1549,5,417,701,2657,162,,81,484,,483,24,9265,911,318,513,168,2213,75,2450,1743
2013,23129,10626,1510,2936,862,2443,199,408,137,135,666,15,1452,515,761,422,,123,411,,186,42,4883,116,46,233,75,4878,58,3755,806
2014,9388,9771,1730,3257,552,4629,146,151,43,68,865,91,1660,429,1042,698,,155,460,,62,133,5245,83,23,153,35,4374,60,2149,1486
2015,19643,11928,2898,5442,510,2383,280,429,177,87,1748,67,745,1071,1069,704,107,247,425,,106,29,12257,250,68,242,93,2700,166,2150,2225
2016,16104,8817,2775,5818,777,3150,141,584,151,119,892,84,933,608,452,641,260,98,422,,60,345,5286,174,45,136,90,5454,82,3188,945
2017,21006,13793,3220,7855,1083,2992,278,513,329,92,966,61,881,424,1454,423,92,80,433,321,301,264,3592,447,222,162,108,5276,110,2411,2371
2018,12274,7143,1634,3220,793,797,174,222,54,131,2033,230,2427,1708,530,972,41,211,343,949,19,887,8867,158,62,262,32,8181,153,2167,1297
2019,10832,10883,2949,4351,657,2278,244,668,123,99,1963,143,1458,1523,2088,1107,194,279,529,548,251,261,9635,425,189,210,84,5483,79,2688,1261
2020,9619,7745,2760,4865,1060,3493,234,499,142,108,2081,24,1260,1360,1239,581,251,157,514,724,48,609,6627,627,81,221,120,5305,78,3399,2598
2021,8186,8780,2332,5989,1250,1631,164,349,116,111,1517,32,1231,548,1154,448,131,46,435,212,113,653,3295,278,75,101,73,4087,85,2793,659
2022,10390,10507,4215,6529,962,1607,217,516,245,89,2473,26,1129,2397,2731,369,22,81,499,916,50,1275,6999,1021,66,297,217,5189,115,2160,1098
2023,7523,7748,2666,4265,941,,119,448,48,131,1512,33,1346,1059,675,571,23,167,466,405,104,1251,4908,170,33,55,40,4744,144,2579,593
2024,6255,6134,1452,3784,981,,595,106,106,121,1284,25,1260,563,582,222,,110,382,222,250,776,5857,728,186,186,49,2867,46,3797,1993
